Generation,Breakdown Frequency,Schedulability
0,1.6100025,60.60606
1,1.6100025,60.60606
2,1.5600026,72.72727
3,1.5600026,72.72727
4,1.5600026,72.72727
5,1.5600026,72.72727
6,1.5300026,72.72727
7,1.5300026,72.72727
8,1.5300026,72.72727
9,1.5300026,72.72727
10,1.5300026,72.72727
11,1.5100026,63.636364
12,1.5100026,63.636364
13,1.4800026,81.818184
14,1.4800026,81.818184
15,1.4800026,81.818184
16,1.4800026,81.818184
17,1.3800027,69.69697
18,1.3800027,69.69697
19,1.3800027,69.69697
20,1.3700027,63.636364
21,1.3700027,63.636364
22,1.3700027,63.636364
23,1.3700027,63.636364
24,1.3700027,63.636364
25,1.3700027,63.636364
26,1.3700027,63.636364
27,1.3700027,63.636364
28,1.3700027,63.636364
29,1.3700027,63.636364
30,1.2600029,90.90909
31,1.2600029,90.90909
32,1.2600029,90.90909
33,1.2600029,90.90909
34,1.2600029,90.90909
35,1.130003,90.90909
36,1.130003,90.90909
37,1.130003,90.90909
38,1.130003,90.90909
39,1.130003,90.90909
40,1.130003,90.90909
41,1.130003,90.90909
42,1.130003,90.90909
43,1.130003,90.90909
44,1.130003,90.90909
45,1.130003,90.90909
46,1.130003,90.90909
47,1.130003,90.90909
48,1.130003,90.90909
49,1.130003,90.90909
50,1.130003,90.90909
51,1.130003,90.90909
52,1.130003,90.90909
53,1.130003,90.90909
54,1.130003,90.90909
55,1.130003,90.90909
56,1.130003,90.90909
57,1.130003,90.90909
58,1.130003,90.90909
59,1.130003,90.90909
60,1.130003,90.90909
61,1.130003,90.90909
62,1.130003,90.90909
63,1.130003,90.90909
64,1.130003,90.90909
65,1.130003,90.90909
66,1.130003,90.90909
67,1.130003,90.90909
68,1.130003,90.90909
69,1.130003,90.90909
70,1.130003,90.90909
71,1.0100031,90.90909
72,1.0100031,90.90909
73,1.0100031,90.90909
74,1.0100031,90.90909
75,1.0100031,90.90909
76,1.0100031,90.90909
77,1.0100031,90.90909
78,1.0100031,90.90909
79,1.0100031,90.90909
80,1.0100031,90.90909
81,1.0100031,90.90909
82,1.0100031,90.90909
83,1.0100031,90.90909
84,1.0100031,90.90909
85,1.0100031,90.90909
86,1.0100031,90.90909
87,1.0100031,90.90909
88,1.0100031,90.90909
89,1.0100031,90.90909
90,1.0100031,90.90909
91,1.0100031,90.90909
92,1.0100031,90.90909
93,1.0100031,90.90909
94,1.0100031,90.90909
95,1.0100031,90.90909
96,1.0100031,90.90909
97,1.0100031,90.90909
98,1.0100031,90.90909
99,1.0100031,90.90909
100,1.0100031,90.90909
